id,name,brand,price,dept,description
233,Black Beans,Goya,0.99,12,"Black beans are an incredibly versatile and nutritious legume, packed with fiber and protein. They have a mild, earthy flavor that pairs well with many different dishes. Black beans can be used in a variety of recipes, from soups and stews to burritos and salads. They are also a great source of plant-based protein and can be used as a base for vegetarian dishes. Enjoy the great flavor and health benefits of black beans today!"
234,Brussel Sprouts,Bonduelle,2.5,12,"Brussel Sprouts are a cruciferous vegetable with firm, round heads and a slightly bitter flavor. They are a great source of fiber and vitamins, and can easily be cooked in a variety of ways. Whether roasted, steamed, or sautéed, Brussel sprouts are a tasty and nutritious addition to any meal."
235,Soil Tester,"

Soil Tester",19.99,3,"The Soil Tester is a device that measures and evaluates the soil composition of a given area. It can detect and measure the pH level, moisture content, nitrogen content, and other important elements in the soil. It is an essential tool for gardeners, farmers, and other professionals who need to understand the soil composition for optimal crop growth. The Soil Tester is easy to use and provides accurate results in a matter of minutes."
236,Green Beans,Chef's Best,1.99,12,"Green Beans are a crunchy, nutritious vegetable, with a mild and savory flavor. They are a good source of dietary fiber, vitamins A, C, and K, and minerals such as iron and potassium. Green Beans are an excellent addition to any meal and can be cooked in a variety of ways."
237,Kitchen Scale,Ozeri Pronto,19.95,20,"This Kitchen Scale is an essential tool for any cook or baker. It is designed to accurately measure ingredients like flour, sugar, spices and more. The scale is easy to use with a simple two-button operation to switch between grams and ounces. The large LCD display is easy to read and the sleek and modern design will fit in any kitchen. The scale is also equipped with a convenient tare feature to subtract the weight of a container or bowl. With its precision accuracy and wide range of measurements, this Kitchen Scale is the perfect tool for any kitchen."
238,Espresso Maker,Delonghi,299.99,20,"This espresso maker is a high-quality appliance designed to make delicious, café-quality espresso quickly and conveniently. It features adjustable settings, allowing you to customize the strength of your espresso. It also comes with an easy-to-clean milk frother for making creamy cappuccinos and lattes. With its sleek design and stainless steel finish, this espresso maker is sure to make a great addition to any kitchen."
239,Maraschino Cherries,Dole,4.99,12,"Maraschino cherries are a type of preserved cherry, typically made from light-colored sweet cherries such as Royal Ann or Rainier. The cherries are soaked in brine, and then either preserved in syrup, or left to dry and naturally sweetened. They are commonly used as a garnish for desserts, or as a topping for ice cream sundaes, cocktails, and other sweet dishes."
240,Watermelon,Watermelon,5,12,"Watermelon is a sweet and juicy fruit that is enjoyed by people of all ages. It is a great source of vitamins, minerals, and antioxidants, and is a low-calorie treat. It is an ideal snack for those trying to maintain a healthy weight. Watermelons are also a great addition to salads, fruit salads, smoothies, and desserts. Enjoy the refreshing and delicious taste of watermelon today!"
241,Projector,Epson,599,8,"A projector is an electronic device that projects an image or video onto a surface, usually a wall or screen. Projectors are commonly used for business presentations, home theater systems, classrooms, or other large-scale displays. They can be used for a variety of applications, including but not limited to watching movies, playing video games, making presentations, or displaying art and other digital media. Projectors typically use LCD, DLP, or LED technology to display the visuals."
242,Smart Watch,Apple,399,8,"The Smart Watch is a stylish and functional wristwatch that combines the convenience of a traditional watch with the power of a smartphone. It features a bright, colorful touchscreen display and a variety of apps for tracking fitness, health, and more. It also offers access to music, messaging, and other smart features. This watch is perfect for those who want to keep up with their busy lives without missing a beat."
243,Spackle,Dap,5.98,7,"Spackle is a lightweight, ready-mix joint compound used to fill holes, cracks, and other defects in walls and ceilings before painting. It can be used on drywall, plaster, wood, brick, and masonry surfaces. It is easy to apply, dries quickly, and is sandable, making it perfect for a variety of home repair projects."
244,Cat Food,Whiskas,0.59,25,"Our Cat Food is specially formulated to provide your cat with a complete and balanced diet. It is made with high-quality ingredients and contains essential vitamins, minerals, and nutrients to keep your cat healthy and happy. Our Cat Food is made with real meat and is free of artificial colors and flavors. It is also packed with essential amino acids to support healthy skin and coat."
